Country_iso,Sector,Fuel,Unit,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
afg,NRTR,SOLID_BIOFUEL,kt C/year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
afg,NRTR,TOTAL_COAL,kt C/year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
afg,RCOC,LIQUID_FUEL_PLUS_NATURAL_GAS,kt C/year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000804592,0.000699699,0.000385759,0.000314661,0.000348609,0.000348609,0.000348609
afg,RCOC,PROCESS,kt C/year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
afg,RCOC,SOLID_BIOFUEL,kt C/year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
afg,RCOC,TOTAL_COAL,kt C/year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
afg,RCOO,LIQUID_FUEL_PLUS_NATURAL_GAS,kt C/year,7.66E-05,2.41E-05,3.22E-05,3.30E-05,3.80E-05,4.87E-05,3.40E-05,7.19E-05,5.49E-05,6.33E-05,0.000439943,0.000495884,0.000552397,0.000648338,0.000598342,0.000741138,0.001407663,0.002115879,0.001987753,0.002012602,0.002009377,0.001867659,0.001083629,0.000995023,0.000919653,0.000883119,0.000808168,0.000931164,0.000831414,0.000599124,8.91E-05,8.69E-05,6.75E-05,8.62E-05,7.82E-05,6.02E-05,7.94E-05,8.36E-05,0.00017884,0.000334488,0.000346242,0.010663795,0.008418122,0.007540792,0.004610787,0.004847839,0.005288077,0.005525129
afg,RCOO,PROCESS,kt C/year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
afg,RCOO,SOLID_BIOFUEL,kt C/year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000106993,0.000107677,0.000108405,0.000109075,0.000137029,0.000137553,0.000137957
afg,RCOO,TOTAL_COAL,kt C/year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
afg,RCOR,LIQUID_FUEL_PLUS_NATURAL_GAS,kt C/year,0.000103765,6.93E-05,4.69E-05,4.63E-05,5.78E-05,0.000102506,0.000101539,0.000124394,0.000114117,0.000144255,0.000112774,9.29E-05,8.98E-05,0.000101077,0.000102918,0.000137049,0.000129049,0.000205213,0.000189759,0.00019144,0.000423951,0.000292917,0.000164201,0.00015618,0.000158925,8.75E-05,8.47E-05,0.000106498,7.21E-05,6.93E-05,7.01E-05,7.60E-05,5.92E-05,8.07E-05,8.89E-05,0.000121832,0.000172205,0.000164105,0.000373864,0.000732775,0.000690007,0.000683934,0.000591475,0.000525275,0.000466864,0.000448607,0.000464256,0.000474689
afg,RCOR,PROCESS,kt C/year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
afg,RCOR,SOLID_BIOFUEL,kt C/year,2.052737233,2.125149169,2.160814602,2.203761647,2.238511917,2.271319628,2.311023595,2.337902071,2.369262876,2.40003627,2.408065386,2.382579479,2.335752283,2.291444717,2.229004559,2.208779224,2.199459712,2.184284049,2.171045966,2.173912801,2.252906184,2.320489702,2.404861195,2.513224444,2.601785078,2.667276921,3.179507927,3.219168527,3.251651839,3.31837721,3.369284468,3.611082676,3.683936393,3.845285395,3.929211454,4.029885824,4.114168294,4.199058546,4.301836604,4.32762239,4.371391854,3.977258551,3.980891551,3.982780881,4.033994584,4.056070535,4.04974809,4.138512465
afg,RCOR,TOTAL_COAL,kt C/year,1.42E-05,0,1.84E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
